level,meat,wood,coal,iron,firecrystals,time
1,0,60,0,0,0,2
2,0,90,0,0,0,10
3,0,400,0,0,0,60
4,0,900,180,0,0,120
5,0,3800,760,0,0,400
6,0,9600,1900,0,0,800
7,0,34000,6900,1700,0,1500
8,0,63000,12000,3100,0,2700
9,0,130000,26000,6500,0,7200
10,0,230000,46000,11000,0,14250
11,260000,260000,52000,13000,0,17820
12,330000,330000,67000,16000,0,21360
13,470000,470000,95000,23000,0,26130
14,630000,630000,120000,31000,0,33240
15,930000,930000,180000,46000,0,42750
16,1100000,1100000,230000,59000,0,71000
17,1800000,1800000,370000,93000,0,86880
18,2500000,2500000,500000,120000,0,104280
19,3100000,3100000,620000,150000,0,156420
20,4300000,4300000,860000,210000,0,195540
21,5400000,5400000,1000000,270000,0,254160
22,7200000,7200000,1400000,360000,0,381300
23,8900000,8900000,1700000,440000,0,533820
24,12000000,12000000,2400000,600000,0,747360
25,16000000,16000000,3200000,810000,0,1046280
26,21000000,21000000,4200000,1000000,0,1203240
27,29000000,29000000,5900000,1400000,0,1443900
28,39000000,39000000,7900000,1900000,0,1660500
29,49000000,49000000,9800000,2400000,0,1909560
30,60000000,60000000,12000000,3000000,0,2291520
31,13000000,13000000,2700000,670000,33,399120
32,13000000,13000000,2700000,670000,33,399120
33,13000000,13000000,2700000,670000,33,399120
34,13000000,13000000,2700000,670000,33,399120
35,13000000,13000000,2700000,670000,33,399120
36,14000000,14000000,2900000,720000,39,513180
37,14000000,14000000,2900000,720000,39,513180
38,14000000,14000000,2900000,720000,39,513180
39,14000000,14000000,2900000,720000,39,513180
40,14000000,14000000,2900000,720000,39,513180
41,15000000,15000000,3100000,790000,59,627240
42,15000000,15000000,3100000,790000,59,627240
43,15000000,15000000,3100000,790000,59,627240
44,15000000,15000000,3100000,790000,59,627240
45,15000000,15000000,3100000,790000,59,627240
46,16000000,16000000,3200000,820000,70,684240
47,16000000,16000000,3200000,820000,70,684240
48,16000000,16000000,3200000,820000,70,684240
49,16000000,16000000,3200000,820000,70,684240
50,16000000,16000000,3200000,820000,70,684240
51,16000000,16000000,3300000,840000,83,798300
52,16000000,16000000,3300000,840000,83,798300
53,16000000,16000000,3300000,840000,83,798300
54,16000000,16000000,3300000,840000,83,798300
55,16000000,16000000,3300000,840000,83,798300
