level,meat,wood,coal,iron,firecrystals,time
1,0,0,0,0,0,0
2,0,180,0,0,0,6
3,0,805,0,0,0,60
4,0,1800,360,0,0,180
5,0,7600,1500,0,0,600
6,0,19000,3800,960,0,1800
7,0,69000,13000,3400,0,3600
8,0,120000,25000,6300,0,9000
9,0,260000,52000,13000,0,16200
10,0,460000,92000,23000,0,21600
11,1300000,1300000,260000,65000,0,27000
12,1600000,1600000,330000,84000,0,32400
13,2300000,2300000,470000,110000,0,39600
14,3100000,3100000,630000,150000,0,50400
15,4600000,4600000,930000,230000,0,64800
16,5900000,5900000,1100000,290000,0,109680
17,9300000,9300000,1800000,460000,0,131640
18,12000000,12000000,2500000,620000,0,157980
19,15000000,15000000,3100000,780000,0,237000
20,21000000,21000000,4300000,1000000,0,296280
21,27000000,27000000,5400000,1300000,0,385140
22,36000000,36000000,7200000,1800000,0,577740
23,44000000,44000000,8900000,2200000,0,808800
24,60000000,60000000,12000000,3000000,0,1132380
25,81000000,81000000,16000000,4000000,0,1585320
26,100000000,100000000,21000000,5200000,0,1823160
27,140000000,140000000,24000000,7400000,0,2187780
28,190000000,190000000,39000000,9900000,0,2515920
29,240000000,240000000,49000000,12000000,0,2893320
30,300000000,300000000,60000000,15000000,0,3472020
31,67000000,67000000,13000000,3300000,132,604800
32,67000000,67000000,13000000,3300000,132,604800
33,67000000,67000000,13000000,3300000,132,604800
34,67000000,67000000,13000000,3300000,132,604800
35,67000000,67000000,13000000,3300000,132,604800
36,72000000,72000000,14000000,3600000,158,777600
37,72000000,72000000,14000000,3600000,158,777600
38,72000000,72000000,14000000,3600000,158,777600
39,72000000,72000000,14000000,3600000,158,777600
40,72000000,72000000,14000000,3600000,158,777600
41,79000000,79000000,15000000,3900000,238,950400
42,79000000,79000000,15000000,3900000,238,950400
43,79000000,79000000,15000000,3900000,238,950400
44,79000000,79000000,15000000,3900000,238,950400
45,79000000,79000000,15000000,3900000,238,950400
46,82000000,82000000,16000000,4100000,280,1036800
47,82000000,82000000,16000000,4100000,280,1036800
48,82000000,82000000,16000000,4100000,280,1036800
49,82000000,82000000,16000000,4100000,280,1036800
50,82000000,82000000,16000000,4100000,280,1036800
51,84000000,84000000,16000000,4200000,335,1209600
52,84000000,84000000,16000000,4200000,335,1209600
53,84000000,84000000,16000000,4200000,335,1209600
54,84000000,84000000,16000000,4200000,335,1209600
55,84000000,84000000,16000000,4200000,335,1209600
