level,meat,wood,coal,iron,firecrystals,time
1,0,0,0,0,0,2
2,0,140,0,0,0,9
3,0,645,0,0,0,45
4,0,1400,285,0,0,135
5,0,6000,1200,0,0,270
6,0,15000,3000,765,0,540
7,0,55000,11000,2700,0,1080
8,0,100000,20000,5000,0,1620
9,0,200000,41000,10000,0,2430
10,0,360000,73000,18000,0,3240
11,460000,460000,92000,23000,0,4050
12,580000,580000,110000,29000,0,4860
13,830000,830000,160000,41000,0,5940
14,1100000,1100000,220000,55000,0,7560
15,1600000,1600000,320000,81000,0,9720
16,2000000,2000000,410000,100000,0,16440
17,3200000,3200000,650000,160000,0,19740
18,4300000,4300000,870000,210000,0,23700
19,5400000,5400000,1000000,270000,0,35550
20,7500000,7500000,1500000,370000,0,44430
21,9500000,9500000,1900000,470000,0,57750
22,12000000,12000000,2500000,630000,0,86640
23,15000000,15000000,3100000,780000,0,121320
24,21000000,21000000,4200000,1000000,0,169860
25,28000000,28000000,5700000,1400000,0,237780
26,36000000,36000000,7300000,1800000,0,273420
27,52000000,52000000,10000000,2600000,0,328140
28,69000000,69000000,13000000,3400000,0,377340
29,86000000,86000000,17000000,4300000,0,433980
30,100000000,100000000,21000000,5200000,0,520800
31,23000000,23000000,4700000,1100000,59,90720
32,23000000,23000000,4700000,1100000,59,90720
33,23000000,23000000,4700000,1100000,59,90720
34,23000000,23000000,4700000,1100000,59,90720
35,23000000,23000000,4700000,1100000,59,90720
36,25000000,25000000,5000000,1200000,71,116640
37,25000000,25000000,5000000,1200000,71,116640
38,25000000,25000000,5000000,1200000,71,116640
39,25000000,25000000,5000000,1200000,71,116640
40,25000000,25000000,5000000,1200000,71,116640
41,27000000,27000000,5500000,1300000,107,142560
42,27000000,27000000,5500000,1300000,107,142560
43,27000000,27000000,5500000,1300000,107,142560
44,27000000,27000000,5500000,1300000,107,142560
45,27000000,27000000,5500000,1300000,107,142560
46,28000000,28000000,5700000,1400000,126,155520
47,28000000,28000000,5700000,1400000,126,155520
48,28000000,28000000,5700000,1400000,126,155520
49,28000000,28000000,5700000,1400000,126,155520
50,28000000,28000000,5700000,1400000,126,155520
51,29000000,29000000,5900000,1400000,150,181440
52,29000000,29000000,5900000,1400000,150,181440
53,29000000,29000000,5900000,1400000,150,181440
54,29000000,29000000,5900000,1400000,150,181440
55,29000000,29000000,5900000,1400000,150,181440
