level,meat,wood,coal,iron,firecrystals,time
1,0,60,0,0,0,2
2,0,90,0,0,0,10
3,0,400,0,0,0,60
4,0,900,180,0,0,120
5,0,3800,760,0,0,400
6,0,9600,1900,480,0,800
7,0,34000,6900,1700,0,1500
8,0,63000,12000,3100,0,2700
9,0,130000,26000,6500,0,7200
10,0,230000,46000,11000,0,14250
11,260000,260000,52000,13000,0,17820
12,330000,330000,67000,16000,0,21360
13,470000,470000,95000,23000,0,26130
14,630000,630000,120000,31000,0,33240
15,930000,930000,180000,46000,0,42750
16,1100000,1100000,230000,59000,0,72420
17,1800000,1800000,370000,93000,0,86880
18,2500000,2500000,500000,120000,0,104280
19,3100000,3100000,620000,150000,0,156420
20,4300000,4300000,860000,210000,0,195540
21,5400000,5400000,1000000,270000,0,254160
22,7200000,7200000,1400000,360000,0,381300
23,8900000,8900000,1700000,440000,0,533820
24,12000000,12000000,2400000,600000,0,747360
25,16000000,16000000,3200000,810000,0,1046280
26,21000000,21000000,4200000,1000000,0,1203240
27,29000000,29000000,5900000,1400000,0,1443900
28,39000000,39000000,7900000,1900000,0,1660500
29,49000000,49000000,9800000,2400000,0,1909560
30,60000000,60000000,12000000,3000000,0,2291520
31,20000000,20000000,4000000,1000000,26,72570
32,20000000,20000000,4000000,1000000,26,72570
33,20000000,20000000,4000000,1000000,26,72570
34,20000000,20000000,4000000,1000000,26,72570
35,20000000,20000000,4000000,1000000,26,72570
36,21000000,21000000,4300000,1000000,31,93300
37,21000000,21000000,4300000,1000000,31,93300
38,21000000,21000000,4300000,1000000,31,93300
39,21000000,21000000,4300000,1000000,31,93300
40,21000000,21000000,4300000,1000000,31,93300
41,23000000,23000000,4700000,1100000,47,114000
42,23000000,23000000,4700000,1100000,47,114000
43,23000000,23000000,4700000,1100000,47,114000
44,23000000,23000000,4700000,1100000,47,114000
45,23000000,23000000,4700000,1100000,47,114000
46,24000000,24000000,4900000,1200000,56,124380
47,24000000,24000000,4900000,1200000,56,124380
48,24000000,24000000,4900000,1200000,56,124380
49,24000000,24000000,4900000,1200000,56,124380
50,24000000,24000000,4900000,1200000,56,124380
51,25000000,25000000,5000000,1200000,67,145860
52,25000000,25000000,5000000,1200000,67,145860
53,25000000,25000000,5000000,1200000,67,145860
54,25000000,25000000,5000000,1200000,67,145860
55,25000000,25000000,5000000,1200000,67,145860
